ligand_name	scores
4L6Q_protein_compound1330_out.pdbqt	-9.0
4L6Q_protein_compound1331_out.pdbqt	-8.8
4L6Q_protein_compound1332_out.pdbqt	-8.5
4L6Q_protein_compound1333_out.pdbqt	-9.6
4L6Q_protein_compound1334_out.pdbqt	-9.5
4L6Q_protein_compound1335_out.pdbqt	-9.0
4L6Q_protein_compound1336_out.pdbqt	-8.2
4L6Q_protein_compound1337_out.pdbqt	-8.2
4L6Q_protein_compound1338_out.pdbqt	-9.5
4L6Q_protein_compound1339_out.pdbqt	-8.9
4L6Q_protein_compound133_out.pdbqt	-9.8
4L6Q_protein_compound1340_out.pdbqt	-8.4
4L6Q_protein_compound1341_out.pdbqt	-9.4
4L6Q_protein_compound1342_out.pdbqt	-9.0
4L6Q_protein_compound1343_out.pdbqt	-8.5
4L6Q_protein_compound1344_out.pdbqt	-8.5
4L6Q_protein_compound1345_out.pdbqt	-9.1
4L6Q_protein_compound1346_out.pdbqt	-8.3
4L6Q_protein_compound1347_out.pdbqt	-8.9
4L6Q_protein_compound1348_out.pdbqt	-9.3
4L6Q_protein_compound1349_out.pdbqt	-8.8
4L6Q_protein_compound134_out.pdbqt	-10.7
4L6Q_protein_compound1350_out.pdbqt	-8.9
4L6Q_protein_compound1351_out.pdbqt	-7.8
4L6Q_protein_compound1352_out.pdbqt	-8.3
4L6Q_protein_compound1353_out.pdbqt	-9.6
4L6Q_protein_compound1354_out.pdbqt	-8.8
4L6Q_protein_compound1355_out.pdbqt	-8.3
4L6Q_protein_compound1356_out.pdbqt	-8.3
4L6Q_protein_compound1357_out.pdbqt	-8.5
4L6Q_protein_compound1358_out.pdbqt	-8.7
4L6Q_protein_compound1359_out.pdbqt	-8.1
4L6Q_protein_compound135_out.pdbqt	-9.2
4L6Q_protein_compound1360_out.pdbqt	-9.8
4L6Q_protein_compound1361_out.pdbqt	-9.6
4L6Q_protein_compound1362_out.pdbqt	-8.5
4L6Q_protein_compound1363_out.pdbqt	-9.7
4L6Q_protein_compound1364_out.pdbqt	-9.8
4L6Q_protein_compound1365_out.pdbqt	-8.4
4L6Q_protein_compound1366_out.pdbqt	-8.9
4L6Q_protein_compound1367_out.pdbqt	-9.1
4L6Q_protein_compound1368_out.pdbqt	-8.4
4L6Q_protein_compound1369_out.pdbqt	-8.6
4L6Q_protein_compound136_out.pdbqt	-10.3
4L6Q_protein_compound1370_out.pdbqt	-9.5
4L6Q_protein_compound1371_out.pdbqt	-7.2
4L6Q_protein_compound1372_out.pdbqt	-9.0
4L6Q_protein_compound1373_out.pdbqt	-8.7
4L6Q_protein_compound1374_out.pdbqt	-8.5
4L6Q_protein_compound1375_out.pdbqt	-9.2
4L6Q_protein_compound1376_out.pdbqt	-8.5
4L6Q_protein_compound1377_out.pdbqt	-8.3
4L6Q_protein_compound1378_out.pdbqt	-9.3
4L6Q_protein_compound1379_out.pdbqt	-9.3
4L6Q_protein_compound137_out.pdbqt	-7.9
4L6Q_protein_compound1380_out.pdbqt	-7.7
4L6Q_protein_compound1381_out.pdbqt	-8.8
4L6Q_protein_compound1382_out.pdbqt	-7.6
4L6Q_protein_compound1383_out.pdbqt	-9.3
4L6Q_protein_compound1384_out.pdbqt	-9.3
4L6Q_protein_compound1385_out.pdbqt	-9.1
4L6Q_protein_compound1386_out.pdbqt	-9.4
4L6Q_protein_compound1387_out.pdbqt	-9.5
4L6Q_protein_compound1388_out.pdbqt	-9.5
4L6Q_protein_compound1389_out.pdbqt	-10.0
4L6Q_protein_compound138_out.pdbqt	-8.0
4L6Q_protein_compound1390_out.pdbqt	-9.5
4L6Q_protein_compound1391_out.pdbqt	-9.1
4L6Q_protein_compound1392_out.pdbqt	-10.0
4L6Q_protein_compound1393_out.pdbqt	-10.0
4L6Q_protein_compound1394_out.pdbqt	-9.3
4L6Q_protein_compound1395_out.pdbqt	-8.9
4L6Q_protein_compound1396_out.pdbqt	-9.4
4L6Q_protein_compound1397_out.pdbqt	-9.0
4L6Q_protein_compound1398_out.pdbqt	-9.3
4L6Q_protein_compound1399_out.pdbqt	-9.8
4L6Q_protein_compound139_out.pdbqt	-10.5
4L6Q_protein_compound13_out.pdbqt	-9.2
4L6Q_protein_compound1400_out.pdbqt	-9.5
4L6Q_protein_compound1401_out.pdbqt	-8.2
4L6Q_protein_compound1402_out.pdbqt	-9.4
4L6Q_protein_compound1403_out.pdbqt	-8.2
4L6Q_protein_compound1404_out.pdbqt	-8.2
4L6Q_protein_compound1405_out.pdbqt	-8.3
4L6Q_protein_compound1406_out.pdbqt	-7.7
4L6Q_protein_compound1407_out.pdbqt	-10.0
4L6Q_protein_compound1408_out.pdbqt	-9.4
4L6Q_protein_compound1409_out.pdbqt	-9.4
4L6Q_protein_compound140_out.pdbqt	-9.6
4L6Q_protein_compound1410_out.pdbqt	-9.4
4L6Q_protein_compound1411_out.pdbqt	-8.3
4L6Q_protein_compound1412_out.pdbqt	-9.5
4L6Q_protein_compound1413_out.pdbqt	-9.5
4L6Q_protein_compound1414_out.pdbqt	-8.3
4L6Q_protein_compound1415_out.pdbqt	-8.9
4L6Q_protein_compound1416_out.pdbqt	-9.3
4L6Q_protein_compound1417_out.pdbqt	-9.8
4L6Q_protein_compound1418_out.pdbqt	-9.8
4L6Q_protein_compound1419_out.pdbqt	-10.5
4L6Q_protein_compound141_out.pdbqt	-9.6
4L6Q_protein_compound1420_out.pdbqt	-9.3
4L6Q_protein_compound1421_out.pdbqt	-9.2
4L6Q_protein_compound1422_out.pdbqt	-8.4
4L6Q_protein_compound1423_out.pdbqt	-8.6
4L6Q_protein_compound1424_out.pdbqt	-9.4
4L6Q_protein_compound1425_out.pdbqt	-8.7
4L6Q_protein_compound1426_out.pdbqt	-10.0
4L6Q_protein_compound1427_out.pdbqt	-9.8
4L6Q_protein_compound1428_out.pdbqt	-9.6
4L6Q_protein_compound1429_out.pdbqt	-9.8
4L6Q_protein_compound142_out.pdbqt	-9.2
4L6Q_protein_compound1430_out.pdbqt	-9.4
4L6Q_protein_compound1431_out.pdbqt	-9.7
4L6Q_protein_compound1432_out.pdbqt	-9.5
4L6Q_protein_compound1433_out.pdbqt	-10.1
4L6Q_protein_compound1434_out.pdbqt	-9.6
4L6Q_protein_compound1435_out.pdbqt	-9.7
4L6Q_protein_compound1436_out.pdbqt	-9.6
4L6Q_protein_compound1437_out.pdbqt	-9.7
4L6Q_protein_compound1438_out.pdbqt	-9.2
4L6Q_protein_compound1439_out.pdbqt	-9.1
4L6Q_protein_compound143_out.pdbqt	-9.3
4L6Q_protein_compound1440_out.pdbqt	-9.2
4L6Q_protein_compound1441_out.pdbqt	-8.5
4L6Q_protein_compound1442_out.pdbqt	-9.6
4L6Q_protein_compound1443_out.pdbqt	-10.4
4L6Q_protein_compound1444_out.pdbqt	-8.7
4L6Q_protein_compound1445_out.pdbqt	-9.9
4L6Q_protein_compound1446_out.pdbqt	-10.2
4L6Q_protein_compound1447_out.pdbqt	-10.0
4L6Q_protein_compound1448_out.pdbqt	-9.4
4L6Q_protein_compound1449_out.pdbqt	-9.5
4L6Q_protein_compound144_out.pdbqt	-9.8
4L6Q_protein_compound1450_out.pdbqt	-9.7
4L6Q_protein_compound1451_out.pdbqt	-8.8
4L6Q_protein_compound1452_out.pdbqt	-9.2
4L6Q_protein_compound1453_out.pdbqt	-7.9
4L6Q_protein_compound1454_out.pdbqt	-10.5
4L6Q_protein_compound1455_out.pdbqt	-8.6
4L6Q_protein_compound1456_out.pdbqt	-10.4
4L6Q_protein_compound1457_out.pdbqt	-9.4
4L6Q_protein_compound1458_out.pdbqt	-9.4
4L6Q_protein_compound1459_out.pdbqt	-8.6
