ligand_name	scores
mol10503_config_out1.pdbqt	-7.5
mol10504_config_out1.pdbqt	-7.5
mol10505_config_out1.pdbqt	-10.3
mol10506_config_out1.pdbqt	-10.9
mol10507_config_out1.pdbqt	-9.1
mol10508_config_out1.pdbqt	-9.8
mol10509_config_out1.pdbqt	-10.4
mol1050_config_out1.pdbqt	-10.1
mol10510_config_out1.pdbqt	-7.8
mol10511_config_out1.pdbqt	-10.7
mol10512_config_out1.pdbqt	-8.9
mol10513_config_out1.pdbqt	-9.0
mol10514_config_out1.pdbqt	-7.9
mol10515_config_out1.pdbqt	-9.3
mol10516_config_out1.pdbqt	-8.9
mol10517_config_out1.pdbqt	-10.4
mol10518_config_out1.pdbqt	-9.4
mol10519_config_out1.pdbqt	-9.2
mol1051_config_out1.pdbqt	-7.4
mol10520_config_out1.pdbqt	-7.4
mol10521_config_out1.pdbqt	-9.7
mol10522_config_out1.pdbqt	-7.3
mol10523_config_out1.pdbqt	-9.3
mol10524_config_out1.pdbqt	-10.4
mol10525_config_out1.pdbqt	-8.6
mol10526_config_out1.pdbqt	-10.1
mol10527_config_out1.pdbqt	-8.4
mol10528_config_out1.pdbqt	-9.3
mol10529_config_out1.pdbqt	-9.6
mol1052_config_out1.pdbqt	-9.0
mol10530_config_out1.pdbqt	-8.0
mol10531_config_out1.pdbqt	-9.8
mol10532_config_out1.pdbqt	-9.6
mol10533_config_out1.pdbqt	-8.5
mol10534_config_out1.pdbqt	-9.5
mol10535_config_out1.pdbqt	-9.0
mol10536_config_out1.pdbqt	-11.2
mol10537_config_out1.pdbqt	-7.1
mol10538_config_out1.pdbqt	-10.6
mol10539_config_out1.pdbqt	-9.0
mol1053_config_out1.pdbqt	-6.7
mol10540_config_out1.pdbqt	-10.7
mol10541_config_out1.pdbqt	-6.8
mol10542_config_out1.pdbqt	-10.2
mol10543_config_out1.pdbqt	-10.2
mol10544_config_out1.pdbqt	-9.7
mol10545_config_out1.pdbqt	-10.0
mol10546_config_out1.pdbqt	-9.5
mol10547_config_out1.pdbqt	-8.2
mol10548_config_out1.pdbqt	-10.9
mol10549_config_out1.pdbqt	-10.3
mol1054_config_out1.pdbqt	-10.5
mol10550_config_out1.pdbqt	-9.0
mol10551_config_out1.pdbqt	-9.2
mol10552_config_out1.pdbqt	-11.3
mol10553_config_out1.pdbqt	-9.8
mol10554_config_out1.pdbqt	-7.3
mol10555_config_out1.pdbqt	-9.0
mol10556_config_out1.pdbqt	-8.0
mol10557_config_out1.pdbqt	-8.7
mol10558_config_out1.pdbqt	-8.2
mol10559_config_out1.pdbqt	-9.8
mol1055_config_out1.pdbqt	-9.6
mol10560_config_out1.pdbqt	-8.0
mol10561_config_out1.pdbqt	-10.4
mol10562_config_out1.pdbqt	-11.0
mol10563_config_out1.pdbqt	-10.0
mol10564_config_out1.pdbqt	-8.7
mol10565_config_out1.pdbqt	-10.2
mol10566_config_out1.pdbqt	-8.5
mol10567_config_out1.pdbqt	-8.1
mol10568_config_out1.pdbqt	-10.7
mol10569_config_out1.pdbqt	-9.4
mol1056_config_out1.pdbqt	-7.8
mol10570_config_out1.pdbqt	-12.0
mol10571_config_out1.pdbqt	-9.0
mol10572_config_out1.pdbqt	-9.2
mol10573_config_out1.pdbqt	-11.0
mol10574_config_out1.pdbqt	-10.5
mol10575_config_out1.pdbqt	-9.3
mol10576_config_out1.pdbqt	-8.5
mol10577_config_out1.pdbqt	-11.9
mol10578_config_out1.pdbqt	-9.6
mol10579_config_out1.pdbqt	-9.8
mol1057_config_out1.pdbqt	-7.2
mol10580_config_out1.pdbqt	-9.6
mol10581_config_out1.pdbqt	-9.8
mol10582_config_out1.pdbqt	-10.0
mol10583_config_out1.pdbqt	-9.9
mol10584_config_out1.pdbqt	-9.6
mol10585_config_out1.pdbqt	-9.6
mol10586_config_out1.pdbqt	-9.3
mol10587_config_out1.pdbqt	-7.7
mol10588_config_out1.pdbqt	-7.1
mol10589_config_out1.pdbqt	-8.1
mol1058_config_out1.pdbqt	-5.9
mol10590_config_out1.pdbqt	-9.7
mol10591_config_out1.pdbqt	-5.1
mol10592_config_out1.pdbqt	-9.5
mol10593_config_out1.pdbqt	-8.8
mol10594_config_out1.pdbqt	-8.0
mol10595_config_out1.pdbqt	-8.6
mol10596_config_out1.pdbqt	-10.2
mol10597_config_out1.pdbqt	-10.4
mol10598_config_out1.pdbqt	-8.7
mol10599_config_out1.pdbqt	-10.3
mol1059_config_out1.pdbqt	-9.6
